Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,,307.9888889,312.3611111,314.9722222,316.8444444,318.6666667,320.6388889,322.5277778,324.3666667,326.2555556,328.1277778,330.2222222,332.4444444,334.6833333,336.2666667,336.9833333,336.5888889,335.3666667,333.9055556,333.2222222,333.8666667,336.4833333,340.8055556,345.5611111,349.0888889,350.1444444,348.0222222,343.5166667,339.3277778,339.0666667,345.2722222,359.0111111,379.0833333,402.8,426.1111111,446.2444444,462.2222222,474.7277778,484.8722222,494.4722222,504.7388889,516.1,527.7333333,538.9833333,548.5388889,555.7277778,560.1888889,562.3444444,563.1,563.6388889,564.8277778,566.9222222,569.7777778,573.1055556,576.5222222,579.6722222,582.6222222,585.3666667,588.0277778,,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.04498667,14.32380755,14.61753668,14.92629507,15.250314,15.58501976,15.92979506,16.29302301,16.68623595,17.11491285,17.57719113,18.06086297,18.54756456,19.01318813,19.43626505,19.8252198,20.17477867,20.43500597,20.54200901,20.45846123,20.17534081,19.73245106,19.20431639,18.69358208,18.28601538,17.97656312,17.77491958,17.79555341,18.17981956,19.01220476,20.37039641,22.18782894,24.22663818,26.15526606,27.74049107,28.87822351,29.64973501,30.23276813,30.89612474,31.82911038,33.09589805,34.61809576,36.27251019,37.87440493,39.2952195,40.48808167,41.51048617,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.7120715,54.19711424,55.59599302,56.93776001,,
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.436890992,4.498707789,4.555593166,4.600179674,4.628675704,4.637213443,4.631621882,4.629543595,4.654892115,4.724765381,4.845413492,5.012073474,5.211327505,5.423421834,5.634073955,5.839022219,6.042941365,6.249063127,6.463517286,6.690694634,6.930653726,7.181318681,7.442124007,7.712163311,7.99069303,8.277942568,8.574035454,8.877877597,9.188078126,9.503798829,9.825058956,10.15269592,10.4877268,10.83159301,11.18569503,11.55107002,11.92874789,12.32020614,12.72709473,13.1510973,13.59248656,14.05263255,14.53555707,15.04623807,15.58803401,16.16259004,16.7685594,17.40244967,18.05910083,18.73445576,19.42781824,20.13951311,20.86771477,21.61047485,22.3665525,23.13506377,23.91653806,24.71305206,,
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.57664234,62.45689781,64.32923358,66.20930657,68.05806569,69.87492701,71.73715328,73.80554745,75.97427007,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,,
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,30.58510638,32.70212766,34.91914894,37.16808511,39.46595745,41.80212766,44.16595745,46.57446809,49.05957447,51.65106383,54.38085106,57.21702128,60.06808511,62.80851064,65.32978723,67.6106383,69.72553191,71.78085106,74.08085106,76.73829787,79.78723404,83.2212766,86.95106383,90.86382979,94.89361702,98.97234043,103.0957447,107.306383,111.5914894,115.9765957,120.5765957,125.293617,129.7255319,133.3553191,135.8510638,136.9361702,136.8659574,136.4723404,136.9574468,139.1276596,143.2787234,149.0404255,155.706383,162.2212766,167.8021277,172.3255319,175.9234043,178.4297872,179.7085106,179.6787234,178.1851064,175.3765957,171.8595745,168.5382979,165.9808511,164.4617021,163.8319149,163.8425532,,
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,8.430859607,8.663153976,8.903441348,9.152526231,9.410964544,9.679950542,9.959490189,10.24757956,10.54138325,10.83940912,11.14016206,11.4458008,11.76292509,12.10033634,12.46422129,12.85696429,13.27605114,13.71655874,14.17113731,14.63415847,15.10394181,15.58125395,16.06581157,16.5579439,17.05770541,17.5639451,18.07543765,18.59208195,19.11402885,19.81710976,20.35810572,20.73408239,21.29364339,21.84601632,22.52759943,23.05215999,23.57027407,24.08236969,24.60019887,25.12980178,25.67165986,26.22642469,26.80081193,27.40153442,28.0337122,28.69994022,29.39750649,30.11888656,30.85858053,31.59402067,32.3301223,33.06766985,33.80378527,34.53397836,35.25689695,35.96876451,36.66980425,37.37236563,,
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,,1.41926218,1.578682061,1.761898057,1.943663757,2.110067587,2.252548578,2.390467474,2.571486905,2.859842298,3.30208392,3.906941707,4.660292875,5.55651929,6.581962827,7.720374542,8.98228668,10.35404112,11.76440439,13.11952971,14.35523796,15.44086173,16.40109828,17.29736694,18.21981132,19.23632779,20.36581245,21.59301605,22.90996902,24.29852154,25.74531118,27.27616164,28.90581526,30.59897212,32.30618136,34.00577302,35.75226697,37.61422135,39.6115742,41.76336243,44.12928752,46.50406928,48.98306111,52.26600957,57.28766545,64.60468882,74.62931569,86.86057449,99.82381019,111.4808786,120.388454,125.9754576,128.7186145,129.511546,129.740566,130.4266404,131.8076598,133.5849479,135.6091101,,
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,,7.60673149,7.729429347,7.852154245,7.974752347,8.097245212,8.219431138,8.34178113,8.46579883,8.593450848,8.726074565,8.864563031,9.008391524,9.155760426,9.304050514,9.4514819,9.597243751,9.742206096,9.888239808,10.03805181,10.19352868,10.3550329,10.52166961,10.69249604,10.86608019,11.04117712,11.21755259,11.39493878,11.57198989,11.74708644,11.91901567,12.08722946,12.2517808,12.41284581,12.57090573,12.72638479,12.87919859,13.02940011,13.17776548,13.325301,13.4727671,13.62070677,13.76909661,13.91749449,14.06515608,14.21166848,14.35671486,14.50083678,14.6454878,14.79261005,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,,
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,68.1943098,70.58398314,72.97428872,75.34250088,77.67190025,79.94499473,82.16111697,84.33940991,86.50958904,88.69223744,90.89244819,93.09750615,95.2857745,97.42704601,99.49978925,101.4955743,103.4205479,105.2833509,107.0990165,108.8779066,110.5759045,112.1773446,113.754654,115.4056551,117.1738672,119.1522304,121.2485774,123.1000702,124.2175623,124.2771689,123.1211099,120.927889,118.1281349,115.3377942,113.0083597,111.2827889,110.0487882,109.1916754,108.5009484,107.8184405,107.1544433,106.5675448,106.003934,105.3993678,104.7161574,103.9096242,103.0073059,102.1291886,101.4433439,101.0649456,101.0375132,101.3076572,101.7767475,102.2972603,102.75915,103.1312259,103.4355111,103.6802248,,
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,103.01,106.265,110.17,114.27,118.36,122.31,126.24,129.945,133.515,136.815,139.92,142.835,145.5,147.98,150.26,152.28,154.19,156.345,159.225,163.23,168.505,174.84,182.06,189.73,197.595,205.595,213.7,221.715,229.47,236.735,243.425,249.48,255.1,260.475,265.805,271.055,276.105,280.855,285.265,289.105,292.47,295.4,297.52,298.405,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325,,
